"s1","s2","s3","s4","s5","s6","method","em","matches"
4,5,1,6,3,2,"cart",1.65556204319,13
1,5,2,4,3,6,"cart",1.39075410366058,14
1,2,4,3,6,5,"cart",1.64485704898834,10
2,5,3,4,6,1,"cart",1.43993973731995,16
4,3,2,5,1,6,"cart",1.25188636779785,12
4,1,2,3,5,6,"cart",1.78986191749573,9
5,2,1,4,6,3,"cart",1.38084888458252,14
5,4,1,3,6,2,"cart",1.90478849411011,12
2,4,3,1,6,5,"cart",1.76619720458984,10
2,5,4,3,6,1,"cart",1.4368302822113,11
3,2,6,1,5,4,"cart",1.41356313228607,5
4,2,1,3,6,5,"cart",1.4383841753006,13
5,6,2,1,3,4,"cart",1.76169943809509,12
5,1,2,4,3,6,"cart",1.79282259941101,16
4,6,2,1,5,3,"cart",1.52415752410889,23
6,2,4,5,1,3,"cart",1.45799231529236,15
3,6,4,5,1,2,"cart",1.43486142158508,7
4,3,5,1,2,6,"cart",1.91075932979584,12
5,2,4,3,1,6,"cart",1.33187913894653,10
4,1,3,2,5,6,"cart",1.45615267753601,15
6,5,1,2,4,3,"cart",1.50945961475372,13
3,2,6,5,1,4,"cart",1.54038953781128,9
4,5,3,2,6,1,"cart",1.42049670219421,15
2,4,6,3,5,1,"cart",1.40465879440308,10
3,6,1,2,5,4,"cart",1.56961238384247,4
5,4,6,1,2,3,"cart",1.69403469562531,16
2,1,4,6,5,3,"cart",1.8656462430954,10
2,1,6,4,3,5,"cart",1.69926989078522,18
4,2,6,5,1,3,"cart",1.34339213371277,14
6,5,1,4,3,2,"cart",1.65560126304626,12
5,2,3,4,1,6,"cart",1.4753166437149,19
4,5,3,1,2,6,"cart",1.27261304855347,18
5,3,6,1,2,4,"cart",1.38128900527954,12
3,4,6,5,2,1,"cart",1.53557050228119,5
5,1,4,6,3,2,"cart",1.49882316589355,9
5,2,1,6,3,4,"cart",1.43748569488525,9
2,3,4,1,5,6,"cart",1.8844313621521,7
3,1,2,4,6,5,"cart",1.38142561912537,5
4,5,3,2,1,6,"cart",1.39140737056732,19
2,1,4,3,5,6,"cart",1.40910375118256,7
2,6,3,4,1,5,"cart",1.34873187541962,20
5,2,1,4,3,6,"cart",1.52692663669586,15
6,4,1,5,3,2,"cart",1.57570338249207,9
4,6,1,3,2,5,"cart",1.39066421985626,17
1,3,6,2,4,5,"cart",1.73317265510559,1
1,6,4,2,3,5,"cart",1.37662088871002,6
1,3,4,5,2,6,"cart",1.7515652179718,5
1,2,6,4,3,5,"cart",1.4647331237793,12
3,5,6,1,2,4,"cart",1.55660128593445,7
5,1,6,3,2,4,"cart",1.319739818573,13
3,1,2,5,4,6,"cart",1.57528245449066,3
4,1,5,3,6,2,"cart",1.46828901767731,12
2,1,4,5,3,6,"cart",1.30250096321106,8
1,4,2,3,5,6,"cart",1.35305297374725,12
5,3,4,1,6,2,"cart",1.71350872516632,9
3,2,1,5,6,4,"cart",1.68423330783844,4
2,3,1,5,6,4,"cart",1.46490061283112,7
2,3,1,5,4,6,"cart",2.02658033370972,11
4,1,6,2,3,5,"cart",1.73773205280304,12
3,6,5,2,1,4,"cart",1.70220589637756,6
4,1,3,2,6,5,"cart",1.43897998332977,4
5,6,1,3,4,2,"cart",2.08737516403198,18
6,3,1,5,4,2,"cart",1.82800579071045,11
6,4,3,5,1,2,"cart",1.37534701824188,15
4,3,6,1,2,5,"cart",1.54085910320282,11
4,6,5,3,2,1,"cart",2.69043207168579,14
5,1,4,2,6,3,"cart",1.59843492507935,14
4,6,1,2,5,3,"cart",1.3621574640274,15
2,1,3,5,4,6,"cart",1.4603077173233,12
4,6,2,1,5,3,"cart",1.537393450737,12
3,6,4,1,2,5,"cart",1.65377974510193,5
6,2,4,5,1,3,"cart",1.81958067417145,17
1,6,2,3,5,4,"cart",1.48688042163849,21
3,1,6,2,4,5,"cart",1.64221823215485,4
2,1,5,4,6,3,"cart",1.30939400196075,13
5,6,1,4,2,3,"cart",1.70264494419098,7
1,3,6,5,4,2,"cart",1.82444846630096,3
1,3,5,6,4,2,"cart",1.44618284702301,7
6,5,2,4,1,3,"cart",1.77661526203156,13
